OBJECTID,LANDUSECODE,LANDUSEDESC,LASTUPDATE,LASTEDITOR,DENSITY,FAR,HISTORY,ACRES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,UNITCOUNT
1921,MDR,Medium-Density Residential,,, , , ,2.53944732,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{F8526C15-A2FC-4873-9722-4626239435F6},40.6
1922,OS,Open Space,,, , , ,1.32365028,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{909EC936-E06D-450B-AE10-7A659A7CBE5F},0
1923,OS,Open Space,,, , , ,4.71702518,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{B00AE490-EE3C-4A41-8B85-5382F9BD6DD6},0
1924,MDR,Medium-Density Residential,,, , , ,0.9364003,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{3C86BED0-4714-47CE-91F2-931F33FA79A5},15
1925,OIR,Office/Institutional/Residential,,, , , ,1.16546178,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{BB9BF55C-5516-4A75-A451-6DE7430D6024},0
1926,OS,Open Space,,, , , ,3.40255277,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A82A3835-FC7A-423B-97B0-0C8A43E69D82},0
1927,MDR,Medium-Density Residential,,, , , ,0.52576867,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A84B8983-9C42-4F24-A10C-D5830EFD4F00},8.5
1928,OS,Open Space,,, , , ,0.97618291,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{FAC3D760-AD27-4E01-B72C-15C62AF2F94D},0
1962,OIR,Office/Institutional/Residential,,, , , ,83.27845375,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{561FA517-B7B9-45DD-A658-E80A4487056D},0
1963,MDR,Medium-Density Residential,,, , , ,1.63807656,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{9DCFAA51-5619-475B-8140-26EB27B144D7},39.2
1964,LDR,Low-Density Residential,,,9-16, , ,9.73767045,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{774E0BCF-9983-473A-9B38-39A05AAA12B1},155.7
1965,LDC,Low-Density Commercial,,, , , ,4.56219725,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{223EE719-C504-42BF-B65A-5593A143A7FB},0
1966,LDC,Low-Density Commercial,,, , , ,4.26303289,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{DC248771-818A-40E2-AA03-FB9664423327},0
1967,MDR,Medium-Density Residential,,, , , ,0.99574806,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A9466EAC-E4AD-4812-825F-8445B1845CEE},16
1968,MDR,Medium-Density Residential,,, , , ,0.51233887,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{5C528C89-4DD4-422D-89C4-E8037BB566CA},8.2
1969,LDC,Low-Density Commercial,,, , , ,0.19992269,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{80D00F19-D27C-4F9E-AEA2-FD53AE94D121},0
1970,LDC,Low-Density Commercial,,, , , ,0.11997484,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{00C13DD0-5A80-4F41-802F-C4DDD710E98F},0
1971,LDC,Low-Density Commercial,,, , , ,0.1661397,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{93D9B5A6-EEB2-40A4-9123-05DBE717F5F8},0
1972,MU,Mixed-Use,,, , , ,16.99288332,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{06B685C3-923A-4EEA-AF49-72182B77E030},0
1973,LDC,Low-Density Commercial,,, , , ,0.86498107,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{57A0F27F-89F6-493C-9AD5-2616F8C545F6},0
1974,HDR,High-Density Residential,,, , , ,2.70771285,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{39EA1650-7C6C-4083-9487-6304A15B2969},78.6
1975,VHDR,Very High-Density Residential,,, , , ,4.16688335,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{375DE6DB-EFED-4B36-A71A-3EFF589C865C},266.2
1976,MU,Mixed-Use,2018-02-07T15:12:44.000Z,GIS, , ,VHDR,16.58872385,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{EC5F274E-9A2D-4992-8C51-9595C9043CC6},114.6
1977,LDR,Low-Density Residential,,, , , ,2.23989541,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{D7D0C196-332F-4EA5-894A-EAA9CAED0C48},17.9
1978,LDR,Low-Density Residential,,, , , ,0.64767454,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{B76F2C66-D9B4-42D0-A87F-E7DEC1DE48F2},5.2
1979,SFR,Single-Family Residential,,, , , ,5.64452275,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{C12450C7-0249-40A0-B4D7-39A0A2165C05},11.3
1980,LDC,Low-Density Commercial,,, , , ,9.87056896,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{7A20ECD7-0388-47DE-948F-C5E14572D3A9},0
1981,OS,Open Space,,, , , ,3.15813759,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{EC04008C-01F7-4FF2-9301-3975C22BDF20},0
1982,LDC,Low-Density Commercial,,, , , ,19.12232085,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{38B46003-0004-4194-B939-08EB152B354D},0
1983,MDR,Medium-Density Residential,,, , , ,1.45528729,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{0D4730ED-C19C-4B0B-AF0A-00AA94DB7006},23.4
1984,LDC,Low-Density Commercial,,, , , ,1.2442125,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{91DC5E95-3AD0-4912-8646-398C1C7D420A},0
1985,HDC,High-Density Commercial,,, , , ,17.90137916,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{B44CD83B-6CC5-4548-B8EF-73115E5227D4},0
1986,O-I,Office/Institutional,,, , , ,6.6190772,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{58491515-0B40-4D0A-9383-C3B1F8872E50},0
1987,O-I,Office/Institutional,,, , , ,5.92855521,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{D270B73F-7CD2-47C3-B62E-3A914FA8AA69},0
1988,OS,Open Space,,, , , ,1.43202521,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{2AFA5BBE-7250-41F2-ABEF-F3CC11D59ABC},0
1989,CF,Community Facilities,,,0-16, , ,12.09769262,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{ABA0DA92-96A3-44E3-A86D-73099582A3DB},193.6
1990,LDC,Low-Density Commercial,,, , ,MDR,3.36365532,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{604A9745-3B96-4594-9C92-E7D5151662B1},53.8
1991,MU,Mixed-Use,,,9-16, , ,1.29663213,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A3DC68BF-A6FC-432A-B3A7-50E415E5A1CA},3739
1992,MDR,Medium-Density Residential,,,17-29, , ,8.76799032,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{09AA31DF-D5C5-403F-8DAF-CAD814B9F236},573.3
1993,LDC,Low-Density Commercial,,, , , ,1.7664224,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{0F0EBD31-E8E8-4D06-A612-FB1D5BC709F2},0
1994,LDC,Low-Density Commercial,,, , , ,1.3936762,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{3BD93510-11FD-4ED1-BD35-B680ACECB53A},0
1995,LDC,Low-Density Commercial,,, , , ,31.42497197,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{2586CDA1-AE6C-4B93-A599-80FFEC3E486C},0
1996,O-I,Office/Institutional,,, , , ,40.7740558,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{FFC8AB1E-94C0-4FAC-86B8-041A617EE11E},0
1997,LDC,Low-Density Commercial,,, , , ,12.04318564,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{435B73BA-67BB-44B1-A799-D64E560431BA},0
1998,LDR,Low-Density Residential,,,9-16, , ,115.01017429,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{E9766CCD-2DA7-4DD3-83EB-981E2319F339},2008.5
1999,OS,Open Space,,, , , ,161.58300471,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{2F165A23-0C97-4298-8F39-C766DD6F952D},0
2000,MDR,Medium-Density Residential,,,0-16, , ,11.06211502,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{CAA069C1-656C-4643-9AB4-3F0E87DCF18A},177
2001,LDR,Low-Density Residential,,,9-16, , ,29.64261699,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{4702A229-B4D2-406F-94DF-E5ADC27D6163},474.4
2002,LDC,Low-Density Commercial,,, , , ,9.01817148,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{EFF08C8E-5133-4703-BE62-D78D0285AB75},0
2003,LDC,Low-Density Commercial,,, , , ,7.57804999,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{7A89F587-BE6E-496D-9225-A5A8C7A70D05},0
2004,SFR,Single-Family Residential,,, , , ,15.44042328,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{E0C26163-845A-4B72-88F5-2ACB378B23CB},30.9
2005,MDR,Medium-Density Residential,,, , , ,7.57572992,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{65641956-05EF-4E06-AAFD-B4550E8FE95A},121.1
2006,LDC,Low-Density Commercial,,, , , ,4.18047955,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{86FA2CF2-87AC-46B5-94C5-F82B17A9F3AE},0
2007,SFR,Single-Family Residential,,, , , ,13.81265107,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{89EBE1F7-03DE-4A82-8826-D2E393DEC28F},27.6
2008,O-I,Office/Institutional,,, , , ,0.75269177,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{C002EA67-C148-4CA2-8456-871283EA38AC},0
2009,O-I,Office/Institutional,,, , , ,0.9155431,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{731F7AAB-2F82-4E27-9759-E7B9591A506F},0
2010,HDC,High-Density Commercial,,, , , ,4.63084991,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{ADFE27C1-4C1A-43E3-A49E-AAF1A23F973F},0
2011,HDR,High-Density Residential,,, , , ,16.11658251,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{3112B44C-BAEA-4F3B-8227-DCCFAB628FDA},393.8
2012,LDC,Low-Density Commercial,,, , , ,3.48579825,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{1CE8106B-824F-4E55-A349-D94B3B51D69A},0
2013,OS,Open Space,,, , , ,24.481939,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A98F8781-9D6F-45E7-A088-8C39EC908149},0
2014,SFR,Single-Family Residential,,, , , ,7.32214343,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{D1579FAF-4E93-4BE7-AF3A-52D2DD02935A},14.7
1929,LDC,Low-Density Commercial,,, , , ,0.45476912,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{D7141B54-21D0-4E4B-A9E4-3167BCB5726E},0
1930,OS,Open Space,,, , , ,4.08011584,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{2647573A-E9BD-4B33-95F0-C0BBA0B058C4},0
1931,LDR,Low-Density Residential,,,0-8, , ,7.75456605,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{95C22907-3B52-4FF5-A1B8-62B89D39AB44},62
1932,HDR,High-Density Residential,,, , , ,38.12358767,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{9B8AC319-518F-49F6-AE54-42A3B216B4D6},1229.3
1933,LDC,Low-Density Commercial,,, , , ,0.63433267,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{D6E32CD5-4EC5-473B-BE34-C5CEA9BC1E43},0
1934,SFR,Single-Family Residential,,, , , ,92.16362,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{2D7C4B95-1913-413A-9201-533427623E91},184.4
1935,OS,Open Space,,, , , ,5.97304723,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{202593FB-68CF-4663-85D8-8AF1E15BB01A},0
1936,OS,Open Space,,, , , ,18.42536821,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{3EA624FF-9D27-46FF-BC4C-60E2D965D141},0
1937,LDC,Low-Density Commercial,,, , , ,6.41710435,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{7983BCD2-DE40-43BE-AB8A-36FDDE951E5B},0
1938,HDR,High-Density Residential,,,0-16, ,MDR,92.44922,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{DD2A67F2-2830-4401-A62B-841918A05DC4},1737.8
1939,LDC,Low-Density Commercial,,, , , ,28.47377555,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{68EB857F-C01A-43A6-B796-4AAD94D4D931},0
1940,LDR,Low-Density Residential,,,9-16, , ,26.59410261,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{5F301BF7-2BCC-4174-9441-DB99B23EAB95},423
1941,O-I,Office/Institutional,,, , , ,51.02412466,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{FCD8A795-A577-4308-A44F-71043408CAAC},0
1942,OS,Open Space,,, , , ,208.46221945,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{9E2A1024-59FC-4777-8222-CF7647B5CB61},0
1943,MDR,Medium-Density Residential,,,0-16, , ,69.1739729,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{CD5C90EE-845E-4513-BBF7-E25F57ED29FA},1106.6
1944,LDC,Low-Density Commercial,,, , ,LDC,4.01672264,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{0531820F-4B30-4FD4-A7CD-F1A356C4F276},0
1945,LDC,Low-Density Commercial,,, , ,LDC,6.78983551,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A9B9F0F7-5C0F-4E09-A502-D8AF8DD8CB3E},0
1946,LDC,Low-Density Commercial,,, , ,LDC,23.58741064,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A38C43FD-C759-4F5E-B297-860DA930729D},0
1947,LDC,Low-Density Commercial,,, , ,LDC,15.04309866,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{8DD7DCD7-E61D-420F-8CC5-3A1AE0F8DAB0},0
1948,MDR,Medium-Density Residential,,,0-16, ,MDR,133.37470821,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{CE62275D-F4DD-4759-A23C-3EAD12B3E978},1891.5
1949,VHDR,Very High-Density Residential,,, , ,VHDR,14.1729808,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{50E49AF3-F4A6-43DA-9D86-7C56DD5803CA},820.5
1951,MDR,Medium-Density Residential,,,0-16, ,MDR,22.10338922,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{75DF099F-A218-44EF-8696-DF514D1F43A0},367.5
1952,LDC,Low-Density Commercial,,, , ,LDC,2.63764076,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{F21C2DCB-F952-4925-8266-A194A73DEDC2},0
1953,LDC,Low-Density Commercial,,, , ,LDC,19.35341717,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A2CEBF1D-32FD-4CFA-B4CA-FDF64FFAC502},0
1954,MDR,Medium-Density Residential,,,0-16, , ,13.73342196,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{7B21F7B8-8BD1-4C65-8C3C-C0C95EC80BAD},12.8
1955,MU,Mixed-Use,,, , , ,15.90058483,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{6927321F-54CD-4A9B-9667-E0E3DEB9213C},0
1956,LDC,Low-Density Commercial,,, , , ,24.83718474,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{8BDC1B60-531A-4FEF-A02C-F0DD93BB5E91},0
1957,O-I,Office/Institutional,,, , , ,31.26140245,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A5B238CD-1901-4751-A5C2-BA4DD0B006E4},0
1958,LDR,Low-Density Residential,,,0-8, , ,22.72811249,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{2B3AEC7B-6E78-45F6-8C94-D4741C3562D8},181.8
1959,MDR,Medium-Density Residential,,,17-29, , ,16.25645302,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{2F7DDE24-86EC-4B2D-9492-2E947A263997},471.5
1960,SFR,Single-Family Residential,,, , , ,112.14360422,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{06491C34-BAC6-4DD7-BD4F-C17F1B76D79E},223.1
1961,LDR,Low-Density Residential,,,0-8, , ,1.94749093,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{D6151F49-ED04-4456-8C55-2F9B955F3FE3},15.6
2077,MDR,Medium-Density Residential,,, , , ,10.1682538,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{C7FB4BFF-F86F-4C12-99ED-109D5E906B04},162.7
2078,HDR,High-Density Residential,,, , , ,4.53747782,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{F093FFE5-C2AC-4CE2-8615-13B908CD7EDE},5783.4
2079,SFR,Single-Family Residential,,, , , ,56.8934454,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{C3457CE6-4B11-4498-957B-CE1B74088242},137
2080,LDR,Low-Density Residential,,, , , ,2.87677548,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{6F03B3F2-1919-434F-BCE1-B6CAB03CCCBA},23
2081,LDR,Low-Density Residential,,,0-8, , ,33.4195137,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{E5286396-6300-4C57-AC74-A2D6A2EE3BDA},267.5
2082,MDR,Medium-Density Residential,,,, , ,31.39921124,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A8FD057F-C397-4319-9EBC-0CA2F4996C34},157.1
2083,MDMU,Medium-Density Mixed-Use,,, , ,LDC,53.00039075,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{38551EF7-D17D-46B4-815C-B66DDA7C848A},0
2084,LDMU,Low-Density Mixed-Use,,, , , ,18.35414075,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{1509BC12-4A65-4F74-8EE0-C84156A178D5},0
2085,LDR,Low-Density Residential,,, , ,SFR,4.7627513,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{FF04C457-A056-455B-BFE4-DE52080EDEBC},143.9
2086,LDC,Low-Density Commercial,,, , , ,16.88910846,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{695F0F9F-C6BA-4BE2-B348-67CF6ECC1374},0
2087,O-I,Office/Institutional,,, , , ,70.09911316,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{9088EAC0-0C96-48A9-912D-110286B53B83},0
2088,O-I,Office/Institutional,,, , , ,114.04538275,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{69EFC821-BEE8-4164-B87B-7CAB9278B90B},0
2089,SFR,Single-Family Residential,,, , , ,133.93716694,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{7F04076D-408E-4785-B1D1-22980B9BAF05},279.6
2090,SFR,Single-Family Residential,,, , , ,44.8968222,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{84F5C48D-29FD-43E0-B0F6-27D7D48DEB33},89.7
2091,SFR,Single-Family Residential,,, , , ,11.45438681,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{65646BF6-1E4C-4397-A8C1-0A403815CDB8},21.9
2092,I,Industrial,,, , ,I,6.3328056,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{5BC9B8AD-0A8F-40D3-85D8-5A4F5E336352},0
2093,MDR,Medium-Density Residential,,,0-16, ,MDR,6.17558076,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{B2565C27-5C39-4B96-B38B-0DF447EA4E8B},98.9
2094,LDMU,Low-Density Mixed-Use,,, , ,LDC,7.73061413,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{5D943B9D-F10B-4A70-B9C7-DDA6E4DCCBFD},0
2095,LDR,Low-Density Residential,,,9-16, ,LDR,26.09653736,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{F3EA3B49-0DEB-4FFC-8A24-86CEDE3F99B7},417.4
2096,MDR,Medium-Density Residential,,,0-16, ,MDR,14.17611752,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{2957D0F3-DAA0-4C42-B622-A3C26399EC5A},143.2
2097,LDMU,Low-Density Mixed-Use,,, , ,LDC,60.75801479,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{0270D99F-1CE1-4BFD-A2D0-FBCBC165A271},0
2098,LDC,Low-Density Commercial,,, , ,LDC,6.6120881,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{C8D6B955-4069-4152-A456-7413EC62DBF4},0
2099,MDR,Medium-Density Residential,,, , ,MDR,12.00372161,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{20392E7C-8AB7-4008-BAE6-1DD408707B2A},191.8
2100,MU,Mixed-Use,,, , ,MU,4.56383033,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A98D08A5-84FD-41F7-9435-8BCB3E4120DC},0
2101,LDC,Low-Density Commercial,,, , ,LDC,10.3149425,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{35D8E11A-C9F2-4DCF-86B6-28E52E34FE67},0
2102,LDMU,Low-Density Mixed-Use,,, , ,LDC,14.49895186,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{F305255D-9E1E-4F9B-93DF-312C56B601E3},0
2103,LDC,Low-Density Commercial,,, , , ,13.93408647,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{CD8D9CA6-034C-4214-9D8E-685FE6301460},0
2104,LDC,Low-Density Commercial,,, , , ,1.4435195,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{B2191CCB-6BDA-4C9C-9C3A-6AC744925295},0
2105,MDR,Medium-Density Residential,,,, , ,74.96222951,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{9E273115-CD0A-44B1-876D-526DA62747EB},360.6
2106,LDR,Low-Density Residential,,,9-16, , ,9.392373,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{46FC0613-EFC5-40A2-AB00-412B8A804CBC},150.2
2107,LDR,Low-Density Residential,,,9-16, , ,67.33108654,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{55F42CBD-A5E7-4C61-96DE-6E1E6CD04938},873.9
2108,LDC,Low-Density Commercial,,, , , ,3.20208481,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{192F720B-060A-4830-8258-D0DCC33935FC},0
2109,LDR,Low-Density Residential,,,0-8, , ,51.45752972,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A8CE3967-B025-43C8-970C-5DC7288AB955},411.7
2110,LDR,Low-Density Residential,,,0-8, , ,20.2486526,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{12613AF1-7DDE-4946-B56A-AE9ADCD5429F},162
2111,MU,Mixed-Use,,, , , ,50.17419527,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{6FD8933D-8E31-43E5-B3D4-6EADB2F693E7},0
2112,I,Industrial,,, , , ,30.02074178,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{37908A88-E770-45CD-9405-17382F430DA3},0
2113,O-I,Office/Institutional,,, , , ,163.17457101,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{1C8F3CE2-F8FD-47BA-B704-524A547EB49A},0
2114,LDR,Low-Density Residential,,,9-16, , ,15.76008192,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{D1BC0EFB-E4E0-4A39-8B24-F053A20BF91B},252.2
2115,MDR,Medium-Density Residential,,, , , ,3.97029929,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A26EB366-C7FF-4C7D-B6C5-39BFB65C1838},63.5
2116,MDR,Medium-Density Residential,,, , , ,5.56237451,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{80401976-4476-497A-960D-3E8963FFF394},89
2117,LDC,Low-Density Commercial,,, , , ,0.67396261,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{640EE4CF-28B1-40A8-9B5F-D49E807C9B66},0
