OBJECTID,LANDUSECODE,LANDUSEDESC,LASTUPDATE,LASTEDITOR,DENSITY,FAR,HISTORY,ACRES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,UNITCOUNT
2597,OS,Open Space,,, , , ,57.72599529,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{DC252493-9C32-4D2F-92C6-9B751F0C8248},0
2598,OS,Open Space,,, , , ,0.19128792,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{E597EFA5-30C8-468F-9659-09A091731BAB},0
2599,OS,Open Space,,, , , ,0.53475612,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{B1340912-DE4F-4ADD-94E2-28E068201B26},0
2600,OS,Open Space,,, , , ,16.15276613,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{16A888A1-F476-4AF9-9501-70E474B961BA},0
2601,OS,Open Space,,, , , ,0.12021741,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{96B79E08-0100-4DD0-8420-F2C5DB2A7172},0
2602,OS,Open Space,,, , , ,0.39310625,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{5FFBDBFF-8C4D-43A1-BC67-ABBE34FE3CB0},0
2603,LDC,Low-Density Commercial,,, , , ,1.97262534,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{CAAD94C5-4DFD-4DA9-84C9-7634E3C742D7},0
2604,O-I,Office/Institutional,,, , , ,0.586788,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{96FBD54F-ED63-4509-9E8D-0AFEAC47D21F},0
2605,OS,Open Space,,, , , ,217.02510041,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{C5C55735-5151-4C29-B7EA-B34E6CF7C732},0
2606,MDR,Medium-Density Residential,,,17-29, , ,57.78725938,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{51653C13-4705-4834-AFA6-A99685A33594},1674.8
2607,HDR,High-Density Residential,,, , , ,13.34288819,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{F88EFE66-3BAF-496A-BFC3-A3269F85700C},560.9
2608,MU,Mixed-Use,,, , , ,88.45914764,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{E0544D0B-22E0-42EA-93E2-6F440AAD80DF},0
2609,O-I,Office/Institutional,,, , , ,8.04369446,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{7BC78DA4-2A8A-4A40-88EB-4F1B28500FC1},0
2610,LDC,Low-Density Commercial,,, , , ,60.03234835,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{5BD803DE-ADF5-4093-9E6E-E8EC053683CC},0
2611,LDR,Low-Density Residential,,,9-16, , ,32.46263334,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{751C8B20-6B2B-42AD-98BE-61B42ECCBB96},519.5
2612,HDR,High-Density Residential,,, , , ,28.22617466,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:16.000Z,{DDA66D06-96DB-4948-8B4D-CEDDA593847E},818.7
2613,MDR,Medium-Density Residential,,,0-16, , ,20.17127793,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{AD9705F6-4C42-47A7-A8F6-D9F78F5868A5},322.7
2614,HDR,High-Density Residential,,, , , ,6.72556636,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{4DAD2074-D157-4026-BE85-43408D232433},195.2
2615,O-I,Office/Institutional,,, , , ,88.4704328,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{97ACF705-C6CA-4DA0-A307-CF74CD559A36},0
2616,MDR,Medium-Density Residential,,,0-16, , ,40.92954648,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{CFF96F04-182D-4319-A254-780AD2DE37B2},1225.4
2617,LDC,Low-Density Commercial,,, , , ,19.35829137,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{62B1DED2-8827-4540-9725-7FF612F97C30},0
2618,HDR,High-Density Residential,,, , , ,14.6193917,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{0A92156C-2FD6-4A9F-877C-36F91A5B7E76},437
2619,O-I,Office/Institutional,,, , , ,1.06990885,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{86DD1BE1-B7A8-4EB3-8154-7407F662479E},0
2620,MU,Mixed-Use,,, , ,I,7.19940112,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{3D9F1DA3-CD12-48CF-9044-D8CE8EF09AE7},0
2621,OS,Open Space,,, , ,I,2.43444283,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{095D93E0-F27B-40AD-8990-F6A041A4AD23},0
2622,OS,Open Space,,, , ,I,4.48508493,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{F9EFE635-1331-437F-8236-3A5A9D0DD0E2},0
2624,MDR,Medium-Density Residential,,, , , ,1.95444032,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:19.000Z,{755FEE40-F2DA-46E9-A823-D07DA8AFA9C7},5783.4
